Id,SalePrice
1461,128913.04
1462,168803.47
1463,181958.52
1464,189284.31
1465,184993.53
1466,168725.69
1467,170317.14
1468,164644.45
1469,182953.89
1470,133784.31
1471,202984.6
1472,93689.984
1473,91003.53
1474,152735.88
1475,118864.7
1476,401259.34
1477,254696.56
1478,280242.16
1479,288813.5
1480,539427.25
1481,342513.78
1482,202547.16
1483,172133.2
1484,164412.48
1485,179801.05
1486,190493.5
1487,324455.16
1488,225187.36
1489,207343.19
1490,218956.1
1491,186747.19
1492,92497.516
1493,174421.25
1494,283251.2
1495,286576.62
1496,232523.45
1497,183904.1
1498,157800.48
1499,156290.95
1500,152173.2
1501,187502.9
1502,154727.92
1503,289513.94
1504,243004.81
1505,222014.73
1506,194440.97
1507,251775.94
1508,203801.89
1509,167544.83
1510,149047.55
1511,146812.16
1512,170412.67
1513,148101.89
1514,177128.98
1515,196058.97
1516,159691.86
1517,152923.95
1518,132742.33
1519,231386.27
1520,133213.36
1521,136049.66
1522,161400.61
1523,113738.6
1524,130874.77
1525,127083.37
1526,110630.32
1527,104517.016
1528,127797.734
1529,150663.33
1530,174652.6
1531,107304.125
1532,102494.33
1533,160980.97
1534,122221.39
1535,151314.47
1536,114048.88
1537,52060.855
1538,166998.92
1539,192393.27
1540,102664.195
1541,141363.14
1542,141933.23
1543,215379.9
1544,83501.55
1545,120114.23
1546,127791.28
1547,132126.05
1548,142233.64
1549,121587.5
1550,134434.83
1551,110809.77
1552,138379.83
1553,152354.66
1554,114027.6
1555,169148.47
1556,92195.69
1557,114262.516
1558,100403.984
1559,85166.555
1560,140710.98
1561,157951.66
1562,130505.02
1563,126026.07
1564,155579.39
1565,141970.58
1566,232082.17
1567,68650.92
1568,235284.17
1569,147517.53
1570,134423.97
1571,120308.3
1572,149787.3
1573,244998.28
1574,121558.266
1575,211327.98
1576,240907.17
1577,194951.45
1578,145356.75
1579,145703.44
1580,188195.75
1581,157168.95
1582,126531.62
1583,306310.3
1584,219882.84
1585,140983.39
1586,73679.195
1587,95536.66
1588,153742.12
1589,100617.45
1590,133988.97
1591,96801.55
1592,114511.44
1593,122630.82
1594,142773.05
1595,114087.19
1596,244139.56
1597,174149.58
1598,200568.81
1599,170445.45
1600,172573.83
1601,80573.1
1602,106237.91
1603,89789.1
1604,292843.5
1605,243248.56
1606,173695.55
1607,159337.86
1608,214962.17
1609,185259.56
1610,155737.58
1611,135030.86
1612,165135.78
1613,164270.9
1614,125922.77
1615,96365.64
1616,73377.89
1617,92683.91
1618,122701.805
1619,144817.38
1620,158725.62
1621,132550.83
1622,146705.34
1623,277649.72
1624,219139.75
1625,120664.57
1626,157368.06
1627,187729.2
1628,264935.16
1629,171293.48
1630,327838.06
1631,212247.61
1632,239364.58
1633,169075.06
1634,185996.97
1635,173772.08
1636,153858.14
1637,194926.62
1638,188356.14
1639,178739.27
1640,259208.6
1641,168531.95
1642,240168.86
1643,223675.17
1644,234008.56
1645,179438.33
1646,153978.56
1647,160426.62
1648,133271.11
1649,143969.98
1650,114757.41
1651,121466.68
1652,99070.34
1653,98659.234
1654,145197.52
1655,146863.48
1656,145378.66
1657,148872.72
1658,149543.62
1659,131574.83
1660,140998.39
1661,464803.47
1662,408468.5
1663,388974.12
1664,471131.0
1665,324584.16
1666,324040.56
1667,410854.56
1668,331333.06
1669,295434.47
1670,352002.34
1671,257261.4
1672,445118.56
1673,283015.6
1674,245828.64
1675,183546.64
1676,187638.88
1677,212127.84
1678,446454.94
1679,420908.2
1680,351108.12
1681,250627.33
1682,310832.12
1683,177217.05
1684,168221.73
1685,164868.05
1686,168096.31
1687,162996.25
1688,185587.17
1689,188761.36
1690,191173.11
1691,178744.81
1692,267406.94
1693,167386.7
1694,179701.66
1695,162057.0
1696,267492.6
1697,165863.33
1698,373246.8
1699,317941.16
1700,239065.5
1701,255809.11
1702,263131.62
1703,259989.0
1704,278584.56
1705,221840.23
1706,337208.5
1707,226545.78
1708,221443.44
1709,272624.9
1710,218514.27
1711,259786.52
1712,266833.3
1713,279245.94
1714,224055.44
1715,207170.28
1716,181434.7
1717,174811.84
1718,138453.22
1719,199997.84
1720,248729.7
1721,165503.25
1722,127790.92
1723,152566.39
1724,211378.89
1725,235276.19
1726,182602.9
1727,161883.62
1728,183534.36
1729,166181.0
1730,148971.42
1731,122729.72
1732,130634.85
1733,123969.31
1734,122710.65
1735,128890.07
1736,120232.81
1737,327195.72
1738,217651.12
1739,259255.7
1740,224161.42
1741,203050.67
1742,173626.34
1743,174846.5
1744,317492.1
1745,244307.47
1746,202693.67
1747,213982.55
1748,215386.67
1749,152602.12
1750,125522.33
1751,235964.6
1752,123843.75
1753,156924.19
1754,205035.6
1755,165188.36
1756,132008.55
1757,126049.81
1758,143744.8
1759,163220.31
1760,163087.42
1761,135846.03
1762,177732.61
1763,170314.86
1764,115811.9
1765,192823.98
1766,170660.33
1767,207084.3
1768,151351.61
1769,173501.06
1770,146548.36
1771,115092.305
1772,139448.22
1773,135520.94
1774,131312.12
1775,140954.61
1776,124080.586
1777,116553.03
1778,140587.2
1779,119305.39
1780,163102.38
1781,133702.4
1782,91717.7
1783,145331.11
1784,108741.35
1785,127588.87
1786,140998.7
1787,159572.5
1788,65899.305
